Mailing ID,MailingRefCode,URL Text,Date,Month,Day of Week,Time,Unique Click,Gross Clicks,CTR,CTOR
5778753,no ID,"http://rs.ims.ca/rsemail/privacy.asp",10/30/2009,October,Friday,5:28 AM,1,1,0.226757369614512%,1.53846153846154%
5778765,no ID,"http://rs.ims.ca/rsemail/privacy.asp",10/30/2009,October,Friday,5:46 AM,9,9,0.023472341757296%,0.196936542669584%
5799566,no ID,"http://rs.ims.ca/rsemail/privacy.asp",11/2/2009,November,Monday,9:32 AM,13,14,0.0388737713111568%,0.490711531720995%
5805279,no ID,"http://rs.ims.ca/rsemail/privacy.asp",11/3/2009,November,Tuesday,7:14 AM,8,8,0.0309597523219814%,0.138193124892037%
5806172,no ID,"http://rs.ims.ca/rsemail/privacy.asp",11/3/2009,November,Tuesday,8:17 AM,8,14,0.0141640193440036%,0.0993824093135515%
5806178,no ID,"http://rs.ims.ca/rsemail/privacy.asp",11/3/2009,November,Tuesday,8:29 AM,12,12,0.031936127744511%,0.188058298072402%
5806179,no ID,"http://rs.ims.ca/rsemail/privacy.asp",11/3/2009,November,Tuesday,8:30 AM,5,5,0.0185797629222251%,0.137061403508772%
5819233,no ID,"http://rs.ims.ca/rsemail/privacy.asp",11/5/2009,November,Thursday,4:05 AM,1,1,0.00423800644176979%,0.0354735721887194%
5820683,no ID,"http://rs.ims.ca/rsemail/privacy.asp",11/5/2009,November,Thursday,8:14 AM,2,4,0.0218138190543709%,0.174901617839965%
5822754,no ID,"http://rs.ims.ca/rsemail/privacy.asp",11/5/2009,November,Thursday,1:37 PM,3,3,0.012237405669998%,0.14985014985015%
5822841,no ID,"http://rs.ims.ca/rsemail/privacy.asp",11/5/2009,November,Thursday,2:58 PM,4,5,0.0928677563150074%,0.394321766561514%
5826522,no ID,"http://rs.ims.ca/rsemail/privacy.asp",11/6/2009,November,Friday,8:10 AM,1,2,0.0089078923926599%,0.0890471950133571%
5652167,no ID,"http://www.ims.ca/info/leadgeneration",9/8/2009,September,Tuesday,10:27 AM,14,15,0.55452865064695%,1.45208131655373%
5652167,no ID,"http://www.ims.ca/r5/navigate.asp?access=29&location=http%3A%2F%2Fwww%2Eims%2Eca%2Fr5%2Fshowkiosk%2Easp%3Flisting%5Fid%3D1021595",9/8/2009,September,Tuesday,10:27 AM,6,6,0.22181146025878%,0.580832526621491%
5652167,no ID,"http://www.ims.ca/r5/navigate.asp?access=29&location=http%3A%2F%2Fwww%2Eims%2Eca%2Fr5%2Fshowkiosk%2Easp%3Flisting%5Fid%3D1021596",9/8/2009,September,Tuesday,10:27 AM,13,16,0.591497227356747%,1.54888673765731%
5687217,no ID,"http://www.ims.ca/webservices",9/30/2009,September,Wednesday,11:55 AM,1,1,Infinity%,5.55555555555556%
5687731,no ID,"http://www.ims.ca/webservices",10/1/2009,October,Thursday,1:12 PM,5,21,0.300988963737996%,2.20125786163522%
5691756,no ID,"http://www.ims.ca/webservices",10/6/2009,October,Tuesday,12:17 PM,2,16,0.113741380536006%,1.47737765466297%
5692227,no ID,"http://www.ims.ca/webservices",10/7/2009,October,Wednesday,8:02 AM,17,20,0.248880039820806%,1.21506682867558%
5799893,no ID,"http://www.ims.ca/webservices",11/2/2009,November,Monday,9:42 AM,1,2,200%,200%
5800274,no ID,"http://www.ims.ca/webservices",11/2/2009,November,Monday,10:27 AM,1,1,100%,100%
5780448,no ID,"http://www.fairwayliving.com/",10/30/2009,October,Friday,10:22 AM,1,1,0.263157894736842%,1.49253731343284%
5780472,no ID,"http://www.fairwayliving.com/",10/30/2009,October,Friday,10:29 AM,16,17,0.33112582781457%,1.29969418960245%
5780472,no ID,"http://www.fairwayliving.com/about-us.php",10/30/2009,October,Friday,10:29 AM,7,10,0.194779898714453%,0.764525993883792%
5780472,no ID,"http://www.fairwayliving.com/contact-us.php",10/30/2009,October,Friday,10:29 AM,4,4,0.0779119594857811%,0.305810397553517%
5780475,no ID,"http://www.fairwayliving.com/contact-us.php",10/30/2009,October,Friday,10:45 AM,1,1,0.558659217877095%,1.66666666666667%
5780472,no ID,"http://www.fairwayliving.com/audience.php",10/30/2009,October,Friday,10:29 AM,4,4,0.0779119594857811%,0.305810397553517%
5691756,no ID,"http://www.ims.ca/r5/cob_page.asp?category_code=privacy&initial_file=cob_page-layout2.asp",10/6/2009,October,Tuesday,12:17 PM,1,1,0.00710883628350039%,0.0923361034164358%
5762906,no ID,"http://tlc.hotims.com/r5/",10/27/2009,October,Tuesday,9:07 AM,2,3,0.636942675159236%,5.55555555555556%
5652088,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/8/2009,September,Tuesday,6:19 AM,1,2,0.161812297734628%,2.27272727272727%
5652244,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/8/2009,September,Tuesday,11:21 AM,1,1,0.204918032786885%,3.03030303030303%
5652246,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/8/2009,September,Tuesday,11:47 AM,1,1,0.205761316872428%,1.61290322580645%
5652583,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/8/2009,September,Tuesday,12:48 PM,52,59,0.0752243982048144%,1.22432039842291%
